name,asin,keyword,price,stars,rating_count,url
Western Digital Red Pro 14To 6Go/s SATA HDD Disque Dur WD141KFGX,B07YFGW736,HDD,790,"4,5 sur 5 étoiles",133 évaluations,https://www.amazon.fr/Western-Digital-14To-Disque-WD141KFGX/dp/B07YFGW736/ref=sr_1_112
Toshiba P300 PC HDD 4To SATA 3.5p,B08XNJHGQ7,HDD,99,"4,8 sur 5 étoiles",7 évaluations,https://www.amazon.fr/TOSHIBA-P300-HDD-SATA-3-5p/dp/B08XNJHGQ7/ref=sr_1_111
"LaCie 2big RAID, 28 To, disque dur externe de bureau HDD, Thunderbolt 3 USB-C, 7 200 tr/min, disques d'entreprise, pour Mac et PC, services Rescue valables 5 ans (STHJ28000800)",B086X1M1CT,HDD,1 457,"4,8 sur 5 étoiles",8 évaluations,https://www.amazon.fr/LaCie-2big-disque-externe-bureau/dp/B086X1M1CT/ref=sr_1_110_mod_primary_new
"LaCie 2big Dock RAID, 16 To, disque dur externe HDD - ports Thunderbolt 4 compatibles USB 4, récupération des données (STLG16000400)",B09BD6W4BY,HDD,€,,,https://www.amazon.fr/LaCie-2big-Dock-Disque-Externe-Thunderbolt/dp/B09BD6W4BY/ref=sr_1_109
"4 To Mobile Disque dur externe USB 3.0 Portable HDD 4 To Disque dur externe compatible avec bureau, ordinateur portable, Mac, Windows, Linux, Android (4 To, noir)",B0BP2MHZ42,HDD,45,"2,5 sur 5 étoiles",3 évaluations,https://www.amazon.fr/externe-Portable-compatible-ordinateur-portable/dp/B0BP2MHZ42/ref=sr_1_108
"Samsung/Seagate - ST1000LM024 Momentus Spinpoint M8 Disque dur interne 2,5'' SATA II 5400 tours/min 1000 Go",B007NVGWV0,HDD,60,"4,4 sur 5 étoiles",2 100 évaluations,https://www.amazon.fr/Samsung-Seagate-ST1000LM024-Momentus-Spinpoint/dp/B007NVGWV0/ref=sr_1_107
WD Or HDD 4To SATA 256 MB 3.5 Inch - WD4003FRYZ -,B07XDD6GD3,HDD,89,"4,4 sur 5 étoiles",2 014 évaluations,https://www.amazon.fr/Western-Digital-Sata-7200-Wd4003Fryz/dp/B07XDD6GD3/ref=sr_1_106
Toshiba 6 to S300 Surveillance HDD OEM,B0BGM5RZ85,HDD,156,"5,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/Toshiba-S300-Surveillance-HDD-OEM/dp/B0BGM5RZ85/ref=sr_1_105
Seagate EXOS 7E8 4To 3.5 HDD 512n,B07T4411LF,HDD,186,"3,9 sur 5 étoiles",17 évaluations,https://www.amazon.fr/Seagate-ST4000NM002A-Disque-4000-S%C3%A9rie/dp/B07T4411LF/ref=sr_1_104
"Seagate IronWolf 10 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s 7200 tr/min,265 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST10000VN0008)",B07J35YWQY,HDD,253,,,https://www.amazon.fr/Seagate-NAS-IronWolf-10000-S%C3%A9rie/dp/B07J35YWQY/ref=sr_1_103
